BER,"BCH(127,8)","BCH(31,6)","BCH(15,5)","BCH(15,7)","BCH(15,11)","BCH(7,4)",No encoding (k=15),No encoding (k=7)
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.075,1.0,1.0,0.9666666666666667,0.8866666666666667,0.7,0.9066666666666666,0.2866666666666667,0.6666666666666666
0.15,1.0,0.8933333333333333,0.8333333333333334,0.6,0.24666666666666667,0.74,0.09333333333333334,0.3466666666666667
0.22499999999999998,0.7666666666666667,0.54,0.5133333333333333,0.3333333333333333,0.12666666666666668,0.54,0.02,0.15333333333333332
0.3,0.11333333333333333,0.2733333333333333,0.29333333333333333,0.1,0.03333333333333333,0.26,0.006666666666666667,0.06
0.375,0.0,0.08,0.14,0.04666666666666667,0.013333333333333334,0.18,0.0,0.03333333333333333
0.45,0.0,0.013333333333333334,0.07333333333333333,0.006666666666666667,0.0,0.1,0,0.013333333333333334
0.525,0.0,0.0,0.006666666666666667,0.0,0,0.04666666666666667,0,0
0.6,0,0.0,0.006666666666666667,0,0,0.006666666666666667,0,0
0.6749999999999999,0,0,0,0,0,0.0,0,0
